PropertyID,PropType,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
98422,Manufacturing,9400 N 124TH ST,Unknown,9,6300,Pole Building,Metal Siding,1.0,2005.0,Unknown,18000,1,Unknown,Unknown,Unknown,0,3/11/19,675000.0
98453,Commercial,10545 W DONGES CT,Unknown,9,6202,Warehouse Building - 1 Story,Concrete Block,1.0,1973.0,Unknown,27940,5,Unknown,Unknown,Unknown,100188,9/13/19,1300000.0
98490,Residential,9409 N MICHAEL CT,Unknown,9,40,Ranch,Fiber Cement/Hardiplank,1.0,2006.0,9.0,2778,1,4.0,2.0,Unknown,13831,7/25/19,350000.0
98495,Residential,9469 N MICHAEL CT,Unknown,9,40,Tudor,Fiber Cement/Hardiplank,2.0,2006.0,9.0,2936,1,4.0,2.0,1.0,10607,9/27/19,380000.0
98545,Residential,9313 N JOYCE AV,Unknown,9,40,Ranch,Aluminum/Vinyl,1.0,1980.0,5.0,1007,1,3.0,1.0,Unknown,9170,8/23/19,135000.0
98558,Residential,9391 N JOYCE AV,Unknown,9,40,Colonial,Aluminum/Vinyl,2.0,1980.0,6.0,1489,1,3.0,1.0,1.0,10790,5/30/19,185000.0
98562,Residential,9328 N JOYCE AV,Unknown,9,40,Ranch,Aluminum/Vinyl,1.0,1980.0,6.0,1505,1,3.0,2.0,Unknown,8878,9/16/19,170500.0
98594,Residential,9368 N 85TH ST,Unknown,9,40,Ranch,Aluminum/Vinyl,1.0,1981.0,6.0,1475,1,3.0,1.0,1.0,8400,10/11/19,145500.0
98626,Residential,8138 W GLENBROOK RD,Unknown,9,40,Ranch,Aluminum/Vinyl,1.0,1989.0,5.0,1241,1,3.0,1.0,1.0,7200,7/10/19,135000.0
98636,Residential,7970 W GLENBROOK RD,Unknown,9,40,Colonial,Aluminum/Vinyl,2.0,2006.0,9.0,2244,1,4.0,2.0,1.0,8925,8/28/19,265000.0
98689,Condominium,"9170 N 70TH ST, Unit 5",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,Unknown,2.0,1973.0,6.0,1244,1,3.0,2.0,1.0,0,2/19/19,89000.0
98715,Condominium,"9212 N 70TH ST, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,Unknown,2.0,1973.0,7.0,1437,1,4.0,2.0,1.0,0,7/22/19,86000.0
98718,Condominium,"9240 N 70TH ST, Unit 3",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,Unknown,2.0,1973.0,6.0,1437,1,3.0,2.0,1.0,0,3/1/19,75000.0
98723,Condominium,"9230 N 70TH ST, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,Unknown,1.0,1973.0,5.0,1437,1,3.0,2.0,1.0,0,11/8/19,85500.0
98742,Condominium,"9270 N 70TH ST, Unit 6",NORTHRIDGE WOOD LAKE,9,5010,Condo Ranch,Unknown,1.0,1973.0,4.0,898,1,2.0,1.0,1.0,0,6/14/19,41000.0
98743,Condominium,"9298 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,Unknown,2.0,1973.0,5.0,1253,1,3.0,1.0,1.0,0,4/19/19,73000.0
98744,Condominium,"9296 N 70TH ST, Unit 2",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,Unknown,2.0,1973.0,5.0,1253,1,3.0,1.0,1.0,0,7/31/19,69000.0
98782,Condominium,"6919 W GLENBROOK RD, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,Unknown,2.0,1973.0,5.0,1253,1,3.0,1.0,1.0,0,5/10/19,82000.0
98783,Condominium,"6921 W GLENBROOK RD, Unit 2",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,Unknown,2.0,1973.0,5.0,1244,1,3.0,2.0,1.0,0,8/19/19,77000.0
98861,Condominium,9011 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,Unknown,2.0,1973.0,7.0,1626,1,4.0,2.0,1.0,1,4/18/19,105000.0
98908,Condominium,9117 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,Unknown,2.0,1973.0,5.0,1401,1,3.0,2.0,1.0,1,9/5/19,96500.0
98989,Residential,6932 W BEATRICE CT,Unknown,9,40,Colonial,Aluminum/Vinyl,2.0,2005.0,9.0,2206,1,4.0,2.0,1.0,7756,2/8/19,245000.0
99005,Residential,6918 W MARINE CT,Unknown,9,40,Bi-Level,Aluminum/Vinyl,1.0,1984.0,8.0,2212,1,4.0,2.0,1.0,7473,2/22/19,157000.0
99105,Residential,8651 W GREENBROOK DR,Unknown,9,40,Ranch,Aluminum/Vinyl,1.0,1982.0,6.0,1487,1,3.0,1.0,1.0,7200,11/12/19,165000.0
265041,Commercial,8530-8564 W BROWN DEER RD,Unknown,9,6452,Strip Shopping Center,Brick,1.0,1984.0,Unknown,95932,13,Unknown,Unknown,Unknown,0,4/22/19,725000.0
99245,Condominium,9119 N 85TH ST,CONDO IV,9,5048,Low Rise 1-3 Stories,Unknown,1.0,1979.0,5.0,920,1,2.0,1.0,Unknown,1,11/1/19,40000.0
99247,Condominium,9123 N 85TH ST,CONDO IV,9,5048,Low Rise 1-3 Stories,Unknown,1.0,1979.0,5.0,920,1,2.0,1.0,Unknown,1,10/2/19,44000.0
99261,Condominium,"9060-101 N 85TH ST, Unit 14",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99262,Condominium,"9060 N 85TH ST, Unit 13",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99263,Condominium,"9060-103 N 85TH ST, Unit 10",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99264,Condominium,"9060-104 N 85TH ST, Unit 9",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99265,Condominium,"9060-105 N 85TH ST, Unit 6",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99266,Condominium,"9060-106 N 85TH ST, Unit 5",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99267,Condominium,"9060 N 85TH ST, Unit 2",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,905,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99268,Condominium,"9060-108 N 85TH ST, Unit 1",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,905,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99269,Condominium,"9060 N 85TH ST, Unit 16",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,959,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99270,Condominium,"9060-110 N 85TH ST, Unit 15",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,959,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99271,Condominium,"9060 N 85TH ST, Unit 12",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,959,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99272,Condominium,"9060-112 N 85TH ST, Unit 11",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,959,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99273,Condominium,"9060-113 N 85TH ST, Unit 8",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,959,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99274,Condominium,"9060 N 85TH ST, Unit 7",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,959,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99275,Condominium,"9060-115 N 85TH ST, Unit 4",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,952,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99276,Condominium,"9060 N 85TH ST, Unit 3",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,952,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99277,Condominium,"9050-201 N 85TH ST, Unit 1",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,905,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99278,Condominium,"9050-202 N 85TH ST, Unit 2",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,905,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99279,Condominium,"9050-203 N 85TH ST, Unit 3",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99280,Condominium,"9050-204 N 85TH ST, Unit 6",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99281,Condominium,"9050-205 N 85TH ST, Unit 9",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99282,Condominium,"9050-206 N 85TH ST, Unit 10",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99283,Condominium,"9050-207 N 85TH ST, Unit 13",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99284,Condominium,"9050 N 85TH ST, Unit 14",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,915,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99285,Condominium,"9050-209 N 85TH ST, Unit 3",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,952,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
99286,Condominium,"9050-210 N 85TH ST, Unit 4",RIDGE COURT,9,5050,Low Rise 1-3 Stories,Unknown,1.0,1978.0,4.0,952,1,2.0,1.0,Unknown,1,8/29/19,2300000.0
